minute,count
0,72
1,33
2,27
3,69
4,23
5,32
6,33
7,36
8,32
9,29
10,49
11,17
12,38
13,17
14,34
15,45
16,10
17,41
18,30
19,38
20,25
21,10
22,43
23,42
24,7
25,16
26,56
27,42
28,34
29,36
30,51
31,39
32,72
33,35
34,44
35,54
36,32
37,42
38,12
39,3
40,2
41,20
42,5
43,73
44,16
45,30
46,5
47,31
48,31
49,55
50,26
51,7
52,11
53,36
54,30
55,43
56,37
57,12
58,46
59,35
60,2
61,49
63,45
64,22
65,20
66,30
67,35
68,58
69,45
70,49
71,35
72,42
73,35
74,61
75,19
77,39
78,31
79,38
80,48
81,35
82,18
83,70
84,55
85,10
86,28
87,56
88,37
89,19
90,43
91,43
92,63
93,35
94,54
95,4
96,1
